symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-05,170.59,171.41,173.49,166.91,168.0,168.34,168.73,101428,171.14,2721,63472,62.58
21STCENMGM,EQ,2026-02-05,39.43,40.2,40.21,40.2,40.21,40.21,40.2,981,0.39,12,981,100.0
360ONE,EQ,2026-02-05,1166.1,1166.8,1171.9,1131.2,1138.5,1140.8,1140.3,879272,10026.32,35828,579136,65.87
3IINFOLTD,EQ,2026-02-05,15.49,15.4,15.49,15.2,15.37,15.32,15.35,207391,31.83,915,157542,75.96
3MINDIA,EQ,2026-02-05,35765.0,35765.0,35855.0,35100.0,35180.0,35450.0,35472.93,3135,1112.08,2137,1399,44.63
3PLAND,EQ,2026-02-05,34.65,36.2,36.4,34.65,35.11,35.13,35.8,5739,2.05,50,5500,95.84
5PAISA,EQ,2026-02-05,341.25,338.1,339.2,330.25,332.95,333.9,333.53,53843,179.58,2190,26530,49.27
63MOONS,EQ,2026-02-05,653.5,652.9,656.0,635.95,647.95,643.85,648.08,75976,492.39,2635,46025,60.58
A2ZINFRA,EQ,2026-02-05,14.56,14.5,14.79,14.11,14.2,14.25,14.46,157932,22.84,493,103395,65.47
AADHARHFC,EQ,2026-02-05,472.6,476.0,476.0,472.2,472.7,472.55,473.25,253725,1200.75,5869,187437,73.87
AAKASH,EQ,2026-02-05,7.88,7.93,8.02,7.8,7.93,7.91,7.9,43653,3.45,252,32581,74.64
AAREYDRUGS,EQ,2026-02-05,62.78,64.95,66.8,62.27,66.4,65.61,64.86,100381,65.11,918,48920,48.73
AARON,EQ,2026-02-05,163.3,163.3,167.93,160.0,165.0,164.16,165.05,12912,21.31,697,4508,34.91
AARTECH,EQ,2026-02-05,47.7,48.75,49.32,45.71,46.06,46.28,47.36,22785,10.79,515,12514,54.92
AARTIDRUGS,EQ,2026-02-05,370.9,370.95,377.85,366.05,375.6,374.9,373.07,248659,927.68,9156,115742,46.55
AARTIIND,EQ,2026-02-05,442.9,442.9,456.4,439.05,452.85,453.6,448.35,2812963,12611.88,51345,1060977,37.72
AARTIPHARM,EQ,2026-02-05,776.65,776.65,789.8,772.55,782.9,783.35,781.78,73468,574.35,7135,35530,48.36
AARTISURF,EQ,2026-02-05,429.25,422.05,429.7,420.0,420.0,421.35,423.38,6177,26.15,457,3102,50.22
AARVI,EQ,2026-02-05,129.1,131.2,131.3,127.35,127.5,127.77,128.84,14733,18.98,1041,5516,37.44
AAVAS,EQ,2026-02-05,1420.2,1427.9,1430.0,1375.0,1381.4,1379.5,1388.38,134525,1867.71,16055,76784,57.08
ABB,EQ,2026-02-05,5755.0,5750.0,5840.5,5663.0,5749.0,5770.0,5770.25,205411,11852.73,24768,66555,32.4
ABBOTINDIA,EQ,2026-02-05,27100.0,27200.0,27300.0,26865.0,27110.0,27215.0,27108.73,3371,913.84,2381,1517,45.0
ABCAPITAL,EQ,2026-02-05,346.6,347.0,347.1,335.0,345.35,344.65,341.57,7513726,25664.79,65487,3636577,48.4
ABCOTS,EQ,2026-02-05,415.2,427.0,427.6,411.1,419.0,424.25,422.84,19776,83.62,491,9381,47.44
ABDL,EQ,2026-02-05,511.0,510.95,516.95,498.95,515.0,514.95,507.93,315912,1604.63,13141,133263,42.18
ABFRL,EQ,2026-02-05,68.84,69.5,71.2,68.55,70.9,70.89,70.26,6114739,4296.48,31161,2114912,34.59
ABGSEC,EQ,2026-02-05,110.99,111.54,111.54,110.99,110.99,110.99,111.24,8,0.01,5,6,75.0
ABINFRA,EQ,2026-02-05,19.14,19.8,21.05,19.3,21.0,20.99,20.87,4835943,1009.17,2754,3979088,82.28
ABLBL,EQ,2026-02-05,116.4,115.55,116.4,113.5,113.65,114.09,114.96,532814,612.5,9458,267115,50.13
ABMINTLLTD,EQ,2026-02-05,39.2,39.2,47.04,39.2,41.82,41.75,43.26,4872,2.11,118,1747,35.86
ABREL,EQ,2026-02-05,1218.8,1219.9,1314.4,1201.1,1295.0,1303.5,1276.79,758147,9679.94,55953,180696,23.83
ABSLAMC,EQ,2026-02-05,823.35,820.0,820.45,805.9,805.9,809.75,813.2,61109,496.94,6464,33192,54.32
ABSLBANETF,EQ,2026-02-05,61.39,61.61,61.66,61.16,61.23,61.25,61.3,11653,7.14,330,6731,57.76
ABSLLIQUID,EQ,2026-02-05,999.99,1000.0,1000.01,999.99,1000.01,999.99,1000.0,1109,11.09,26,803,72.41
ABSLNN50ET,EQ,2026-02-05,72.3,71.12,72.42,71.12,71.9,72.12,72.03,6747,4.86,243,5000,74.11
ABSLPSE,EQ,2026-02-05,10.73,10.8,10.98,10.59,10.7,10.67,10.66,559983,59.7,874,275670,49.23
ACC,EQ,2026-02-05,1692.1,1694.0,1694.0,1668.0,1673.0,1676.2,1676.6,87906,1473.83,7994,39207,44.6
ACCELYA,EQ,2026-02-05,1377.5,1377.5,1382.5,1360.0,1363.0,1365.3,1368.81,83054,1136.85,3914,55984,67.41
ACCURACY,EQ,2026-02-05,5.19,5.26,5.4,5.01,5.24,5.19,5.2,94314,4.9,691,61645,65.36
ACE,EQ,2026-02-05,875.5,877.05,898.5,861.45,897.0,895.2,885.37,292064,2585.83,19492,108576,37.18
ACEINTEG,EQ,2026-02-05,19.38,19.89,20.98,19.31,19.77,19.78,19.81,1602,0.32,47,1420,88.64
ACI,EQ,2026-02-05,592.25,570.0,603.85,540.0,593.0,596.15,571.25,562565,3213.68,24596,141296,25.12
ACL,EQ,2026-02-05,58.87,58.29,58.7,57.52,58.58,58.63,58.33,3706,2.16,181,2839,76.61
ACMESOLAR,EQ,2026-02-05,228.73,229.0,229.7,225.5,227.5,227.11,227.15,743878,1689.73,17853,446304,60.0
ACUTAAS,EQ,2026-02-05,1988.7,1988.7,1990.0,1948.0,1978.0,1980.5,1974.09,226426,4469.86,23968,120960,53.42
ADANIENSOL,EQ,2026-02-05,988.15,980.0,1016.5,980.0,1013.0,1011.45,1000.82,1770119,17715.74,47806,447158,25.26
ADANIENT,EQ,2026-02-05,2228.2,2232.0,2243.7,2210.0,2232.6,2236.6,2224.95,992382,22079.95,42025,230168,23.19
ADANIGREEN,EQ,2026-02-05,954.45,954.0,972.0,951.45,966.0,967.15,963.71,3102511,29899.06,60973,647017,20.85
ADANIPORTS,EQ,2026-02-05,1567.9,1568.0,1577.7,1548.6,1566.5,1570.2,1564.43,3285127,51393.5,87496,1541315,46.92
ADANIPOWER,EQ,2026-02-05,155.29,155.29,156.9,151.1,152.75,153.45,153.18,26958184,41294.83,123395,6808426,25.26
ADFFOODS,EQ,2026-02-05,225.52,223.99,233.0,216.0,229.0,227.73,226.4,810002,1833.82,14990,173973,21.48
ADL,EQ,2026-02-05,72.89,72.89,76.0,70.4,71.15,71.92,72.88,374,0.27,29,346,92.51
ADOR,EQ,2026-02-05,1062.9,1062.9,1089.0,1051.1,1069.5,1060.6,1072.39,12342,132.35,1671,5164,41.84
ADROITINFO,EQ,2026-02-05,10.35,10.35,10.69,9.91,9.93,9.96,10.01,131984,13.21,202,127283,96.44
ADSL,EQ,2026-02-05,133.41,128.3,131.69,127.0,128.39,128.5,128.68,227380,292.6,3196,80686,35.49
ADVAIT,EQ,2026-02-05,1552.8,1551.2,1551.9,1501.0,1545.0,1518.3,1518.86,10157,154.27,1860,5650,55.63
ADVANCE,EQ,2026-02-05,132.48,132.7,134.5,130.5,131.8,130.83,131.95,709052,935.57,4220,435381,61.4
ADVANIHOTR,EQ,2026-02-05,56.61,56.61,56.93,55.9,56.01,56.04,56.3,37721,21.24,496,27089,71.81
ADVENTHTL,EQ,2026-02-05,221.94,227.0,229.94,210.2,210.22,214.04,220.87,216518,478.23,5393,77730,35.9
ADVENZYMES,EQ,2026-02-05,291.85,291.85,292.95,279.15,292.45,291.2,285.75,110526,315.83,2778,64559,58.41
AEGISLOG,EQ,2026-02-05,699.65,699.65,699.65,683.1,687.0,687.05,689.94,156949,1082.85,10187,63737,40.61
