symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
20MICRONS,EQ,24-Feb-2026,178.86,179.04,179.49,172.75,175.61,175.7,175.47,100039,175.54,2245,57559,57.54,2026-02-24
21STCENMGM,EQ,24-Feb-2026,36.06,36.44,36.75,35.4,36.75,36.67,36.44,1226,0.45,23,910,74.23,2026-02-24
360ONE,EQ,24-Feb-2026,1126.9,1120.0,1129.0,1099.0,1119.4,1113.4,1109.78,432011,4794.35,23181,212826,49.26,2026-02-24
3IINFOLTD,EQ,24-Feb-2026,14.45,14.41,14.51,14.09,14.18,14.1,14.16,460886,65.25,1469,360880,78.3,2026-02-24
3MINDIA,EQ,24-Feb-2026,36115.0,36030.0,36320.0,35700.0,35980.0,35875.0,35957.73,1902,683.92,1591,1045,54.94,2026-02-24
3PLAND,EQ,24-Feb-2026,34.4,34.4,34.4,33.73,34.0,33.77,33.96,1467,0.5,57,1387,94.55,2026-02-24
5PAISA,EQ,24-Feb-2026,319.95,316.9,333.95,313.1,330.75,328.25,323.32,83352,269.49,2534,38936,46.71,2026-02-24
63MOONS,EQ,24-Feb-2026,583.4,584.0,607.2,541.0,593.0,600.95,577.29,799119,4613.25,41918,183593,22.97,2026-02-24
A2ZINFRA,EQ,24-Feb-2026,14.48,14.35,15.92,14.2,15.92,15.92,15.4,1185989,182.6,1111,931896,78.58,2026-02-24
AAATECH,EQ,24-Feb-2026,105.6,105.6,108.97,100.32,102.0,102.66,105.51,45088,47.57,524,30979,68.71,2026-02-24
AADHARHFC,EQ,24-Feb-2026,470.0,474.0,483.6,447.4,452.0,452.35,460.26,699927,3221.47,17970,438258,62.61,2026-02-24
AAKASH,EQ,24-Feb-2026,8.82,9.28,9.28,8.39,8.56,8.6,8.73,116972,10.21,659,66852,57.15,2026-02-24
AAREYDRUGS,EQ,24-Feb-2026,80.49,79.64,80.1,72.45,75.5,75.54,74.72,459754,343.55,3777,245177,53.33,2026-02-24
AARON,EQ,24-Feb-2026,163.43,164.08,164.99,160.68,161.0,161.05,161.92,5736,9.29,544,2087,36.38,2026-02-24
AARTECH,EQ,24-Feb-2026,43.63,44.8,44.89,43.01,43.15,43.11,43.4,10924,4.74,244,6632,60.71,2026-02-24
AARTIDRUGS,EQ,24-Feb-2026,371.3,369.05,371.9,367.65,369.45,369.5,369.65,71369,263.82,3531,38630,54.13,2026-02-24
AARTIIND,EQ,24-Feb-2026,446.7,442.35,453.05,437.0,448.1,449.8,442.81,683693,3027.45,26168,320241,46.84,2026-02-24
AARTIPHARM,EQ,24-Feb-2026,686.9,690.15,694.7,678.6,691.8,690.9,688.2,146568,1008.67,12241,67835,46.28,2026-02-24
AARTISURF,EQ,24-Feb-2026,405.95,406.7,410.0,400.0,400.0,401.1,401.83,2698,10.84,283,1913,70.9,2026-02-24
AARVI,EQ,24-Feb-2026,126.62,126.5,128.27,123.3,125.0,124.59,124.78,12569,15.68,261,9382,74.64,2026-02-24
AAVAS,EQ,24-Feb-2026,1285.4,1276.1,1278.8,1255.1,1270.0,1269.2,1267.84,129123,1637.07,13378,82225,63.68,2026-02-24
ABB,EQ,24-Feb-2026,5917.5,5881.5,6075.0,5881.5,6060.0,6056.0,5986.05,782563,46844.62,67375,256723,32.81,2026-02-24
ABBOTINDIA,EQ,24-Feb-2026,26470.0,26400.0,26520.0,26215.0,26365.0,26365.0,26322.08,1960,515.91,1125,1143,58.32,2026-02-24
ABCAPITAL,EQ,24-Feb-2026,346.2,345.0,351.0,338.75,350.9,349.3,345.58,10786939,37277.63,48070,7124611,66.05,2026-02-24
ABCOTS,EQ,24-Feb-2026,425.0,432.2,432.2,410.6,411.0,413.75,421.78,8052,33.96,698,1496,18.58,2026-02-24
ABDL,EQ,24-Feb-2026,501.45,499.0,502.6,487.9,495.0,495.8,495.2,173797,860.64,8112,75092,43.21,2026-02-24
ABFRL,EQ,24-Feb-2026,69.64,69.7,69.7,67.9,69.49,68.8,68.79,2176039,1496.96,12378,962393,44.23,2026-02-24
ABINFRA,EQ,24-Feb-2026,20.82,21.0,21.0,19.9,20.5,20.3,20.34,1431640,291.23,2444,1004671,70.18,2026-02-24
ABLBL,EQ,24-Feb-2026,106.68,106.0,106.38,103.55,104.1,104.44,104.45,507068,529.65,7437,271475,53.54,2026-02-24
ABREL,EQ,24-Feb-2026,1304.6,1294.7,1297.4,1254.1,1269.0,1267.8,1270.69,106499,1353.27,11713,59753,56.11,2026-02-24
ABSLAMC,EQ,24-Feb-2026,919.05,920.0,934.2,909.2,928.45,927.15,926.44,431143,3994.28,17953,237687,55.13,2026-02-24
ABSLBANETF,EQ,24-Feb-2026,62.57,62.6,62.69,62.07,62.43,62.36,62.25,54248,33.77,360,47584,87.72,2026-02-24
ABSLLIQUID,EQ,24-Feb-2026,1000.0,1000.01,1000.01,999.99,1000.01,1000.0,1000.0,2568,25.68,30,972,37.85,2026-02-24
ABSLMSCIN,EQ,24-Feb-2026,30.24,30.0,30.13,30.0,30.03,30.03,30.04,182,0.05,5,180,98.9,2026-02-24
ABSLNN50ET,EQ,24-Feb-2026,72.98,72.35,73.45,72.35,72.94,72.99,72.73,3469,2.52,195,2293,66.1,2026-02-24
ABSLPSE,EQ,24-Feb-2026,10.71,10.74,10.93,10.54,10.82,10.78,10.75,695744,74.79,658,353448,50.8,2026-02-24
ACC,EQ,24-Feb-2026,1618.8,1618.5,1624.4,1605.6,1624.0,1619.1,1614.21,87389,1410.65,9178,34751,39.77,2026-02-24
ACCELYA,EQ,24-Feb-2026,1166.4,1166.4,1189.4,1145.0,1173.0,1164.8,1155.46,15709,181.51,1833,9045,57.58,2026-02-24
ACCURACY,EQ,24-Feb-2026,4.94,4.88,4.94,4.78,4.9,4.81,4.83,82400,3.98,543,68971,83.7,2026-02-24
ACE,EQ,24-Feb-2026,877.35,877.35,877.75,862.0,867.85,865.55,868.24,82545,716.69,5491,37143,45.0,2026-02-24
ACEINTEG,EQ,24-Feb-2026,19.02,18.93,19.49,18.2,18.98,18.83,18.61,1287,0.24,75,817,63.48,2026-02-24
ACI,EQ,24-Feb-2026,564.0,559.0,580.0,547.55,578.0,574.75,565.1,126671,715.81,6386,57457,45.36,2026-02-24
ACL,EQ,24-Feb-2026,54.36,55.45,56.61,54.27,54.55,55.06,54.87,13080,7.18,311,7313,55.91,2026-02-24
ACMESOLAR,EQ,24-Feb-2026,231.49,231.48,234.01,228.85,232.01,231.6,231.71,306449,710.06,7213,176563,57.62,2026-02-24
ACUTAAS,EQ,24-Feb-2026,2146.8,2130.8,2183.5,2112.6,2146.0,2152.3,2156.42,358290,7726.24,42638,181809,50.74,2026-02-24
ADANIENSOL,EQ,24-Feb-2026,1003.8,999.75,1045.0,993.7,1040.6,1037.1,1018.45,1356273,13812.96,29966,620718,45.77,2026-02-24
ADANIENT,EQ,24-Feb-2026,2191.0,2168.6,2204.7,2162.2,2184.0,2183.0,2182.09,1152423,25146.96,45878,390557,33.89,2026-02-24
ADANIGREEN,EQ,24-Feb-2026,970.35,970.15,988.0,956.45,984.0,981.35,969.81,1290484,12515.23,25195,342293,26.52,2026-02-24
ADANIPORTS,EQ,24-Feb-2026,1555.8,1553.7,1564.0,1536.4,1561.9,1555.4,1547.84,1360612,21060.1,57521,561410,41.26,2026-02-24
ADANIPOWER,EQ,24-Feb-2026,144.05,143.5,144.72,142.24,144.35,144.31,143.46,8248526,11833.35,56599,3257848,39.5,2026-02-24
ADFFOODS,EQ,24-Feb-2026,227.82,227.82,227.82,207.9,210.6,211.7,214.46,435980,934.99,9109,225102,51.63,2026-02-24
ADL,EQ,24-Feb-2026,69.21,70.0,73.82,69.21,73.82,73.82,69.69,92,0.06,5,92,100.0,2026-02-24
ADOR,EQ,24-Feb-2026,1073.4,1070.0,1083.2,1051.0,1061.0,1065.8,1071.62,5208,55.81,1071,3259,62.58,2026-02-24
ADROITINFO,EQ,24-Feb-2026,9.39,9.35,9.8,9.31,9.69,9.47,9.48,23784,2.25,169,18132,76.24,2026-02-24
ADSL,EQ,24-Feb-2026,121.82,122.79,122.79,117.11,119.91,119.07,118.88,143253,170.3,2411,63134,44.07,2026-02-24
ADVAIT,EQ,24-Feb-2026,1700.4,1700.1,1735.0,1663.6,1713.7,1717.6,1697.55,21516,365.24,3182,10008,46.51,2026-02-24
ADVANCE,EQ,24-Feb-2026,131.07,130.95,130.95,124.01,125.4,125.15,126.15,310201,391.32,2743,167294,53.93,2026-02-24
ADVANIHOTR,EQ,24-Feb-2026,55.11,55.11,55.62,54.5,54.9,54.8,54.85,20950,11.49,508,15306,73.06,2026-02-24
ADVENTHTL,EQ,24-Feb-2026,204.73,211.6,211.6,196.61,198.5,198.09,200.56,128469,257.65,4977,80419,62.6,2026-02-24
ADVENZYMES,EQ,24-Feb-2026,313.9,313.0,314.4,307.5,308.1,308.6,310.45,224739,697.69,4294,149568,66.55,2026-02-24
AEGISLOG,EQ,24-Feb-2026,702.4,702.45,756.0,693.1,700.0,699.5,721.45,11865682,85605.52,242774,1673824,14.11,2026-02-24
AEGISVOPAK,EQ,24-Feb-2026,229.03,225.2,230.79,222.0,226.71,227.8,225.99,991076,2239.72,17458,214406,21.63,2026-02-24
AEQUS,EQ,24-Feb-2026,139.22,139.99,143.5,138.05,143.5,142.61,141.39,719068,1016.7,11278,311516,43.32,2026-02-24
AEROENTER,EQ,24-Feb-2026,78.95,80.2,80.2,77.12,77.12,77.98,78.26,181001,141.65,1047,69194,38.23,2026-02-24
AEROFLEX,EQ,24-Feb-2026,220.23,219.6,221.0,213.0,220.5,218.62,217.42,971195,2111.58,11995,336093,34.61,2026-02-24
AERONEU,EQ,24-Feb-2026,69.24,70.05,70.6,69.0,69.0,69.05,69.69,27719,19.32,422,15284,55.14,2026-02-24
AETHER,EQ,24-Feb-2026,968.3,968.9,974.2,954.1,970.0,965.0,963.79,44120,425.23,4738,18797,42.6,2026-02-24
AFCONS,EQ,24-Feb-2026,312.9,311.85,311.85,302.5,310.0,308.0,305.85,449432,1374.6,26829,227151,50.54,2026-02-24
AFFLE,EQ,24-Feb-2026,1509.6,1500.0,1500.1,1394.0,1404.0,1398.5,1415.19,608427,8610.4,56486,285478,46.92,2026-02-24
AFFORDABLE,EQ,24-Feb-2026,198.28,194.08,199.77,192.0,199.25,195.0,195.97,17542,34.38,617,10292,58.67,2026-02-24
AFIL,EQ,24-Feb-2026,7.05,7.28,7.37,6.8,7.2,7.07,7.08,8515873,602.57,5405,3501902,41.12,2026-02-24
AFSL,EQ,24-Feb-2026,202.45,201.01,208.3,201.01,201.01,201.21,203.18,41836,85.0,1879,9124,21.81,2026-02-24
AGARIND,EQ,24-Feb-2026,581.95,581.0,581.0,550.35,555.0,557.65,564.16,26578,149.94,1949,11506,43.29,2026-02-24
AGARWALEYE,EQ,24-Feb-2026,441.7,439.95,460.0,436.25,453.0,455.55,448.13,105883,474.5,5863,36466,34.44,2026-02-24
AGI,EQ,24-Feb-2026,568.55,568.0,568.0,547.05,550.0,549.95,553.74,166502,921.99,8929,106261,63.82,2026-02-24
AGIIL,EQ,24-Feb-2026,275.45,281.05,298.25,275.25,294.75,294.2,289.89,5700460,16525.01,50303,1093043,19.17,2026-02-24
AGROPHOS,EQ,24-Feb-2026,34.12,34.0,34.81,32.65,33.67,33.34,33.93,11865,4.03,171,7154,60.29,2026-02-24
AHCL,EQ,24-Feb-2026,116.27,117.0,117.0,112.68,115.25,116.66,114.83,77304,88.77,1303,39928,51.65,2026-02-24
AHLADA,EQ,24-Feb-2026,46.36,46.52,47.48,46.0,46.31,46.6,46.36,13660,6.33,144,9302,68.1,2026-02-24
AHLEAST,EQ,24-Feb-2026,158.06,155.17,155.72,153.0,153.25,153.25,154.05,1060,1.63,54,884,83.4,2026-02-24
AHLUCONT,EQ,24-Feb-2026,805.45,805.0,825.0,787.9,808.0,809.0,803.94,68673,552.09,7329,39311,57.24,2026-02-24
AIAENG,EQ,24-Feb-2026,3833.7,3831.0,3875.2,3825.2,3856.0,3859.6,3856.9,15108,582.7,5581,7901,52.3,2026-02-24
AIIL,EQ,24-Feb-2026,502.5,500.0,502.0,492.6,500.0,496.65,495.85,273011,1353.74,13593,165656,60.68,2026-02-24
AIRAN,EQ,24-Feb-2026,17.2,16.91,17.38,16.5,16.52,16.62,16.88,73587,12.42,807,48130,65.41,2026-02-24
AIROLAM,EQ,24-Feb-2026,92.67,94.99,94.99,91.8,92.8,92.75,92.62,1219,1.13,58,972,79.74,2026-02-24
AJANTPHARM,EQ,24-Feb-2026,2978.4,2988.5,2988.5,2940.7,2955.0,2948.8,2950.57,55209,1628.98,15572,37805,68.48,2026-02-24
AJAXENGG,EQ,24-Feb-2026,491.0,491.0,494.75,484.05,492.0,490.4,490.04,50690,248.4,3740,29683,58.56,2026-02-24
AJMERA,EQ,24-Feb-2026,133.88,133.79,135.25,130.02,132.8,133.55,132.74,273147,362.56,12883,147661,54.06,2026-02-24
AJOONI,EQ,24-Feb-2026,4.78,4.75,4.8,4.65,4.7,4.68,4.72,248521,11.72,373,164751,66.29,2026-02-24
AKASH,EQ,24-Feb-2026,27.33,26.61,27.28,25.5,25.99,25.8,26.09,31455,8.21,232,19936,63.38,2026-02-24
AKG,EQ,24-Feb-2026,14.34,14.11,14.46,13.83,13.95,13.96,14.01,27740,3.89,160,23493,84.69,2026-02-24
AKI,EQ,24-Feb-2026,6.1,6.1,6.18,4.88,4.98,4.98,5.13,1140124,58.44,1853,619147,54.31,2026-02-24
AKSHAR,EQ,24-Feb-2026,0.45,0.45,0.46,0.45,0.46,0.45,0.45,879148,3.99,463,654338,74.43,2026-02-24
AKSHARCHEM,EQ,24-Feb-2026,220.2,221.99,222.93,215.31,216.5,217.79,218.19,627,1.37,44,302,48.17,2026-02-24
AKSHOPTFBR,EQ,24-Feb-2026,4.8,4.88,4.88,4.7,4.77,4.73,4.75,220022,10.45,495,144808,65.82,2026-02-24
AKUMS,EQ,24-Feb-2026,474.45,474.0,485.0,471.0,484.1,483.7,478.45,170992,818.12,8558,85377,49.93,2026-02-24
AKZOINDIA,EQ,24-Feb-2026,3086.1,3086.1,3119.4,3079.9,3110.1,3117.8,3108.8,30662,953.22,6041,18415,60.06,2026-02-24
ALANKIT,EQ,24-Feb-2026,9.19,9.24,9.47,9.13,9.22,9.23,9.23,155275,14.34,580,91241,58.76,2026-02-24
ALBERTDAVD,EQ,24-Feb-2026,721.55,719.05,724.0,710.0,713.0,710.5,716.6,1529,10.96,84,1126,73.64,2026-02-24
ALEMBICLTD,EQ,24-Feb-2026,94.76,94.5,94.75,91.45,92.35,92.47,92.55,268112,248.14,2978,170795,63.7,2026-02-24
ALGOQUANT,EQ,24-Feb-2026,60.15,59.9,61.46,58.1,60.08,60.05,59.23,1149530,680.87,3558,278202,24.2,2026-02-24
ALICON,EQ,24-Feb-2026,804.4,801.0,808.2,789.25,795.05,795.4,798.29,7860,62.75,886,3852,49.01,2026-02-24
ALIVUS,EQ,24-Feb-2026,903.35,900.3,913.25,880.75,889.9,883.6,893.91,60419,540.09,7051,28111,46.53,2026-02-24
ALKALI,EQ,24-Feb-2026,69.8,70.77,70.78,68.13,69.9,69.07,69.08,1458,1.01,99,865,59.33,2026-02-24
ALKEM,EQ,24-Feb-2026,5490.5,5500.0,5508.5,5448.0,5482.0,5495.5,5481.72,119453,6548.08,17779,83503,69.9,2026-02-24
ALKYLAMINE,EQ,24-Feb-2026,1512.2,1504.5,1523.0,1491.2,1499.0,1496.1,1499.73,26113,391.62,5002,13648,52.27,2026-02-24
ALLCARGO,EQ,24-Feb-2026,8.64,8.65,8.85,8.63,8.7,8.69,8.7,4138855,359.98,7514,2287606,55.27,2026-02-24
ALLDIGI,EQ,24-Feb-2026,825.45,832.4,832.4,814.0,825.0,825.8,825.12,2370,19.56,394,1445,60.97,2026-02-24
ALLTIME,EQ,24-Feb-2026,248.05,248.04,248.04,240.59,246.0,245.35,243.95,25637,62.54,912,17764,69.29,2026-02-24
ALMONDZ,EQ,24-Feb-2026,15.83,16.02,16.35,15.85,15.91,15.99,16.08,97176,15.62,345,71297,73.37,2026-02-24
ALOKINDS,EQ,24-Feb-2026,14.78,14.78,14.78,14.4,14.59,14.55,14.49,3374053,489.06,7195,1532382,45.42,2026-02-24
ALPA,EQ,24-Feb-2026,68.18,69.0,69.0,64.7,65.1,65.41,66.15,27158,17.97,491,18996,69.95,2026-02-24
