symbol,date,close,close,volume,delivery_qty,delivery_pct
20MICRONS,2026-02-26,175.24,176.35,41724, 23771, 56.97
21STCENMGM,2026-02-26,36.49,36.49,681, 479, 70.34
360ONE,2026-02-26,1128.3,1128.3,628620, 347988, 55.36
3IINFOLTD,2026-02-26,13.95,13.99,508412, 397279, 78.14
3MINDIA,2026-02-26,36340.0,36455.0,1681, 660, 39.26
3PLAND,2026-02-26,33.61,33.68,994, 738, 74.25
5PAISA,2026-02-26,321.75,320.8,36301, 12807, 35.28
63MOONS,2026-02-26,603.8,604.85,111308, 52958, 47.58
A2ZINFRA,2026-02-26,18.9,18.81,2517109, 1413441, 56.15
AAATECH,2026-02-26,105.0,105.8,434223, 416918, 96.01
AADHARHFC,2026-02-26,477.3,475.2,647332, 368894, 56.99
AAKASH,2026-02-26,8.5,8.5,146160, 91141, 62.36
AAREYDRUGS,2026-02-26,78.92,78.65,431039, 239541, 55.57
AARNAV,2026-02-26,27.5,27.47,29750, 15564, 52.32
AARON,2026-02-26,161.6,161.65,4522, 2669, 59.02
AARTECH,2026-02-26,43.99,43.38,31868, 18854, 59.16
AARTIDRUGS,2026-02-26,371.25,369.4,94116, 51891, 55.14
AARTIIND,2026-02-26,456.0,455.7,401307, 203035, 50.59
AARTIPHARM,2026-02-26,722.5,719.7,104955, 53716, 51.18
AARTISURF,2026-02-26,404.0,401.25,2843, 1763, 62.01
AARVI,2026-02-26,128.0,128.26,6861, 3367, 49.07
AAVAS,2026-02-26,1290.0,1291.3,440852, 406083, 92.11
ABB,2026-02-26,6135.0,6133.0,283878, 132718, 46.75
ABBOTINDIA,2026-02-26,26410.0,26355.0,1908, 987, 51.73
ABCAPITAL,2026-02-26,354.0,356.15,5866534, 2892358, 49.30
ABCOTS,2026-02-26,408.0,410.25,20649, 13348, 64.64
ABDL,2026-02-26,488.8,487.5,111585, 42972, 38.51
ABFRL,2026-02-26,68.39,68.55,1372447, 574685, 41.87
ABGSEC,2026-02-26,112.12,112.12,1810, 1809, 99.94
ABINFRA,2026-02-26,18.66,18.96,1825194, 1188524, 65.12
ABLBL,2026-02-26,103.0,102.9,516705, 248402, 48.07
ABREL,2026-02-26,1295.0,1291.3,196518, 96182, 48.94
ABSLAMC,2026-02-26,913.5,912.85,401512, 223732, 55.72
ABSLBANETF,2026-02-26,62.48,62.41,9235, 5179, 56.08
ABSLLIQUID,2026-02-26,999.99,999.99,3886, 3298, 84.87
ABSLMSCIN,2026-02-26,30.31,30.31,87, 85, 97.70
ABSLNN50ET,2026-02-26,73.9,73.88,11687, 10747, 91.96
ABSLPSE,2026-02-26,10.9,10.91,515919, 317275, 61.50
ACC,2026-02-26,1616.5,1613.1,104053, 61482, 59.09
ACCELYA,2026-02-26,1217.0,1214.4,14052, 7483, 53.25
ACCURACY,2026-02-26,4.93,4.87,80039, 49109, 61.36
ACE,2026-02-26,893.1,894.25,516230, 107179, 20.76
ACEINTEG,2026-02-26,18.5,18.7,5872, 3707, 63.13
ACI,2026-02-26,593.0,596.0,124686, 43724, 35.07
ACL,2026-02-26,55.5,55.4,6626, 3737, 56.40
ACMESOLAR,2026-02-26,235.08,234.92,250991, 126202, 50.28
ACUTAAS,2026-02-26,2181.0,2185.1,169563, 81419, 48.02
ADANIENSOL,2026-02-26,1015.65,1023.95,1114743, 338127, 30.33
ADANIENT,2026-02-26,2215.4,2216.4,915342, 287181, 31.37
ADANIGREEN,2026-02-26,962.6,965.95,911136, 178842, 19.63
ADANIPORTS,2026-02-26,1548.0,1550.6,1353287, 510410, 37.72
ADANIPOWER,2026-02-26,141.3,141.34,6526437, 2555507, 39.16
ADFFOODS,2026-02-26,201.01,201.43,105977, 49314, 46.53
ADL,2026-02-26,72.76,72.71,400, 222, 55.50
ADOR,2026-02-26,1070.5,1066.4,4032, 1928, 47.82
ADROITINFO,2026-02-26,10.01,10.03,41635, 30598, 73.49
ADSL,2026-02-26,120.46,120.97,138725, 42924, 30.94
ADVAIT,2026-02-26,1728.0,1731.3,28160, 11893, 42.23
