symbol,close,delivery_pct,volume,turnover,Score,Label
ICICIBANK,1401.6,55.15,27288792,38247970867.2,1,⚪ Neutral
HDFCBANK,896.0,58.37,41165937,36884679552.0,1,⚪ Neutral
BHARTIARTL,1934.0,53.84,10795028,20877584152.0,1,⚪ Neutral
SBIN,1210.5,60.58,16196052,19605320946.0,1,⚪ Neutral
AXISBANK,1395.1,66.29,8979547,12527366019.699999,1,⚪ Neutral
INDUSINDBK,961.3,60.65,8974624,8627306051.199999,1,⚪ Neutral
HOMEFIRST,1176.0,83.87,7005745,8238756120.0,1,⚪ Neutral
COFORGE,1199.0,56.42,6063557,7270204843.0,1,⚪ Neutral
M&M,3480.0,68.12,1998012,6953081760.0,1,⚪ Neutral
BANKBARODA,324.25,50.13,20502406,6647905145.5,1,⚪ Neutral
BEL,449.3,50.86,13738213,6172579100.900001,1,⚪ Neutral
UNIONBANK,201.45,52.43,30109110,6065480209.5,1,⚪ Neutral
TMCV,491.1,63.34,12183458,5983296223.8,1,⚪ Neutral
SHRIRAMFIN,1107.7,50.16,5231414,5794837287.8,1,⚪ Neutral
HAL,4005.0,62.62,1423043,5699287215.0,1,⚪ Neutral
KOTAKBANK,424.0,68.58,13417228,5688904672.0,1,⚪ Neutral
TATASTEEL,215.15,50.47,25522669,5491202235.35,1,⚪ Neutral
POLYCAB,8504.0,60.55,629664,5354662656.0,1,⚪ Neutral
MANAPPURAM,293.75,56.89,17619024,5175588300.0,1,⚪ Neutral
VMM,127.45,50.53,40225825,5126781396.25,1,⚪ Neutral
MARUTI,15201.0,55.58,308213,4685145813.0,1,⚪ Neutral
YESBANK,20.97,58.94,214470676,4497450075.719999,1,⚪ Neutral
POWERGRID,304.0,65.56,14249515,4331852560.0,1,⚪ Neutral
TRENT,3861.0,52.08,1094939,4227559479.0,1,⚪ Neutral
NTPC,382.6,59.0,10721570,4102072682.0000005,1,⚪ Neutral
MAXHEALTH,1106.45,57.08,3383794,3743998871.3,1,⚪ Neutral
FEDERALBNK,299.7,63.21,12490528,3743411241.6,1,⚪ Neutral
COALINDIA,432.0,59.14,8650353,3736952496.0,1,⚪ Neutral
ONGC,280.0,60.73,13301761,3724493080.0,1,⚪ Neutral
SUNPHARMA,1787.5,66.04,2076586,3711897475.0,1,⚪ Neutral
LIQUIDBEES,999.99,60.6,3646806,3646769531.94,1,⚪ Neutral
ITC,318.45,51.6,11270119,3588969395.5499997,1,⚪ Neutral
AUBANK,970.1,58.62,3615184,3507089998.4,1,⚪ Neutral
HINDUNILVR,2380.2,65.38,1470677,3500505395.3999996,1,⚪ Neutral
IOC,186.27,56.12,17206460,3205047304.2000003,1,⚪ Neutral
CGPOWER,726.1,59.78,4352772,3160547749.2000003,1,⚪ Neutral
UPL,640.0,51.78,4874080,3119411200.0,1,⚪ Neutral
HINDALCO,942.0,56.29,3075442,2897066364.0,1,⚪ Neutral
APOLLOHOSP,7794.0,73.22,361759,2819549646.0,1,⚪ Neutral
BHARATFORG,1917.6,62.12,1444595,2770155372.0,1,⚪ Neutral
MUTHOOTFIN,3429.9,51.1,800594,2745957360.6,1,⚪ Neutral
CIPLA,1358.0,55.72,2013877,2734844966.0,1,⚪ Neutral
ULTRACEMCO,12933.0,59.12,209041,2703527253.0,1,⚪ Neutral
